id,name,url
Duel+Decks%3A+Ajani+vs.+Nicol+Bolas,Duel Decks: Ajani vs. Nicol Bolas,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Ajani+vs.+Nicol+Bolas
Duel+Decks%3A+Anthology,Duel Decks: Anthology,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Anthology
Duel+Decks%3A+Blessed+vs.+Cursed,Duel Decks: Blessed vs. Cursed,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Blessed+vs.+Cursed
Duel+Decks%3A+Divine+vs.+Demonic,Duel Decks: Divine vs. Demonic,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Divine+vs.+Demonic
Duel+Decks%3A+Elspeth+vs.+Kiora,Duel Decks: Elspeth vs. Kiora,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Elspeth+vs.+Kiora
Duel+Decks%3A+Elspeth+vs.+Tezzeret,Duel Decks: Elspeth vs. Tezzeret,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Elspeth+vs.+Tezzeret
Duel+Decks%3A+Elves+vs.+Goblins,Duel Decks: Elves vs. Goblins,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Elves+vs.+Goblins
Duel+Decks%3A+Garruk+vs.+Liliana,Duel Decks: Garruk vs. Liliana,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Garruk+vs.+Liliana
Duel+Decks%3A+Heroes+vs.+Monsters,Duel Decks: Heroes vs. Monsters,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Heroes+vs.+Monsters
Duel+Decks%3A+Izzet+vs.+Golgari,Duel Decks: Izzet vs. Golgari,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Izzet+vs.+Golgari
Duel+Decks%3A+Jace+vs.+Chandra,Duel Decks: Jace vs. Chandra,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Jace+vs.+Chandra
Duel+Decks%3A+Jace+vs.+Vraska,Duel Decks: Jace vs. Vraska,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Jace+vs.+Vraska
Duel+Decks%3A+Knights+vs.+Dragons,Duel Decks: Knights vs. Dragons,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Knights+vs.+Dragons
Duel+Decks%3A+Merfolk+vs.+Goblins,Duel Decks: Merfolk vs. Goblins,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Merfolk+vs.+Goblins
Duel+Decks%3A+Mind+vs.+Might,Duel Decks: Mind vs. Might,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Mind+vs.+Might
Duel+Decks%3A+Nissa+vs.+Ob+Nixilis,Duel Decks: Nissa vs. Ob Nixilis,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Nissa+vs.+Ob+Nixilis
Duel+Decks%3A+Phyrexia+vs.+The+Coalition,Duel Decks: Phyrexia vs. The Coalition,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Phyrexia+vs.+The+Coalition
Duel+Decks%3A+Sorin+vs.+Tibalt,Duel Decks: Sorin vs. Tibalt,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Sorin+vs.+Tibalt
Duel+Decks%3A+Speed+vs.+Cunning,Duel Decks: Speed vs. Cunning,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Speed+vs.+Cunning
Duel+Decks%3A+Venser+vs.+Koth,Duel Decks: Venser vs. Koth,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Venser+vs.+Koth
Duel+Decks%3A+Zendikar+vs.+Eldrazi,Duel Decks: Zendikar vs. Eldrazi,https://www.magiccardmarket.eu/Expansions/Duel+Decks%3A+Zendikar+vs.+Eldrazi
Duels+of+the+Planeswalkers+Decks,Duels of the Planeswalkers Decks,https://www.magiccardmarket.eu/Expansions/Duels+of+the+Planeswalkers+Decks
Duels+of+the+Planeswalkers+Promos,Duels of the Planeswalkers Promos,https://www.magiccardmarket.eu/Expansions/Duels+of+the+Planeswalkers+Promos
Eighth+Edition,Eighth Edition,https://www.magiccardmarket.eu/Expansions/Eighth+Edition
Eldritch+Moon,Eldritch Moon,https://www.magiccardmarket.eu/Expansions/Eldritch+Moon
Eldritch+Moon%3A+Promos,Eldritch Moon: Promos,https://www.magiccardmarket.eu/Expansions/Eldritch+Moon%3A+Promos
Eternal+Masters,Eternal Masters,https://www.magiccardmarket.eu/Expansions/Eternal+Masters
Euro+Lands,Euro Lands,https://www.magiccardmarket.eu/Expansions/Euro+Lands
Eventide,Eventide,https://www.magiccardmarket.eu/Expansions/Eventide
Exodus,Exodus,https://www.magiccardmarket.eu/Expansions/Exodus
