22771;Y;1;4.57
63169;Y;1;1.29
22655;Y;1;0.84
40086;Y;1;0.61
37454;Y;1;0.6
31564;Y;1;0.46
31333;Y;1;0.34
19417;Y;1;0.3
57474;Y;1;0.03
47979;Y;1;0.03
52827;Y;1;0.03
63403;Y;1;0.03
43141;Y;1;0.03
36040;Y;1;0.03
57430;Y;1;0.03
48005;Y;1;0.03
37855;Y;1;0.03
63237;Y;1;0.03
43544;Y;1;0.03
52975;Y;1;0.03
43111;Y;1;0.03
57086;Y;1;0.02
35358;Y;1;0.02
63153;Y;1;0.02
63151;Y;1;0.02
63385;Y;1;0.02
51538;Y;1;0.02
61001;Y;1;0.02
57472;Y;1;0.02
63235;Y;1;0.02
43117;Y;1;0.02
53053;Y;1;0.02
31321;Y;1;0.02
36120;Y;1;0.02
31677;Y;1;0.01
53382;Y;1;0.01
39620;Y;1;0.01
63233;Y;1;0.01
48384;Y;1;0.01
63239;Y;1;0.01
43123;Y;1;0.01
63463;Y;1;0.01
63149;Y;1;0.01
63145;Y;1;0.01
63455;Y;1;0.01
63195;Y;1;0.01
30915;Y;1;0.01
48810;Y;1;0.01
63215;Y;1;0.01
63369;Y;1;0.01
63293;Y;1;0.01
43103;Y;1;0.01
63039;Y;1;0.01
63279;Y;1;0.01
43091;Y;1;0.01
41509;Y;1;0.01
42512;N;1;9.42
52879;N;1;8.77
35715;N;1;7.41
52849;N;1;7.04
53093;N;1;6.9
26758;N;1;6.77
56642;N;1;6.31
37374;N;1;6.27
37861;N;1;5.99
51366;N;1;5.77
14171;N;1;5.63
43921;N;1;4.85
55763;N;1;4.78
55187;N;1;4.74
17329;N;1;4.64
59069;N;1;4.52
43291;N;1;4.39
59043;N;1;3.87
20535;N;1;3.6
59053;N;1;3.56
10043;N;1;3.51
48848;N;1;3.51
21535;N;1;3.5
43979;N;1;3.45
31417;N;1;3.3
57202;N;1;3.25
21135;N;1;3.24
39884;N;1;3.22
39587;N;1;3.17
55338;N;1;3.13
28711;N;1;3.13
52304;N;1;3.09
20688;N;1;3.07
38335;N;1;3.02
48876;N;1;3.01
56866;N;1;2.94
59047;N;1;2.94
53742;N;1;2.93
35737;N;1;2.88
57312;N;1;2.86
52120;N;1;2.85
39792;N;1;2.77
60547;N;1;2.59
13797;N;1;2.5
26479;N;1;2.48
60779;N;1;2.48
62331;N;1;2.38
51851;N;1;2.33
49271;N;1;2.31
31431;N;1;2.3
21685;N;1;2.27
46928;N;1;2.25
39537;N;1;2.24
54318;N;1;2.24
30979;N;1;2.2
40644;N;1;2.17
51745;N;1;2.14
49014;N;1;2.13
20692;N;1;2.08
30302;N;1;2.04
13151;N;1;2.03
7445;N;1;2.03
40639;N;1;2.03
42744;N;1;2.03
39734;N;1;2.02
26822;N;1;2.02
51286;N;1;2.01
28453;N;1;1.94
55173;N;1;1.93
33462;N;1;1.93
25657;N;1;1.83
57350;N;1;1.82
39581;N;1;1.81
58951;N;1;1.78
29479;N;1;1.77
37576;N;1;1.76
21021;N;1;1.76
46507;N;1;1.75
23935;N;1;1.74
53245;N;1;1.73
52853;N;1;1.72
49054;N;1;1.67
51354;N;1;1.66
62307;N;1;1.66
58056;N;1;1.63
20539;N;1;1.61
62377;N;1;1.61
43935;N;1;1.6
55141;N;1;1.59
20209;N;1;1.53
