eur;name;id;condition;usd;set;isFoil;idLanguage;count
0.09;Aethermage's Touch;425973;NM;0.25;Modern Masters 2017 Edition;False;1;1
0.15;Aetherplasm;96924;NM;0.25;Guildpact;False;4;1
0.05;Aethersnipe;397746;NM;0.13;Modern Masters 2015 Edition;True;1;1
0.05;Aethersnipe;145817;NM;0.13;Lorwyn;True;4;1
0.05;Aethersnipe;145817;NM;0.13;Lorwyn;True;1;1
0.42;Aetherspouts;383178;NM;0.44;Magic 2015 Core Set;False;4;1
0.09;Aethersquall Ancient;417612;NM;0.25;Kaladesh;False;4;1
0.04;Aetherstream Leopard;423770;NM;0.12;Aether Revolt;False;4;2
0.04;Aetherstream Leopard;423770;NM;0.12;Aether Revolt;False;1;1
0.04;Aethertorch Renegade;417679;NM;0.18;Kaladesh;False;4;1
0.97;Aetherworks Marvel;417766;NM;0.49;Kaladesh;True;1;2
0.36;Afiya Grove;3374;NM;0.49;Mirage;False;5;1
0.36;Agadeem Occultist;198402;NM;0.53;Worldwake;False;1;2
0.09;Ageless Sentinels;43713;NM;0.29;Scourge;False;4;1
0.12;Agent of Acquisitions;382209;NM;0.19;Conspiracy;False;1;1
0.02;Agent of Horizons;373712;NM;0.12;Theros;False;4;16
0.02;Agent of Horizons;373712;NM;0.12;Theros;False;1;6
0.02;Agent of Horizons;373712;NM;0.12;Theros;True;1;1
0.23;Agent of the Fates;373543;NM;0.3;Theros;False;4;1
0.23;Agent of the Fates;373543;NM;0.3;Theros;False;1;3
0.06;Agony Warp;425975;NM;0.13;Modern Masters 2017 Edition;True;1;1
0.07;Agony Warp;175052;NM;0.14;Shards of Alara;True;4;1
0.05;Ahn-Crop Champion;426896;NM;0.18;Amonkhet;False;4;1
0.13;Ahn-Crop Crasher;426819;NM;0.25;Amonkhet;False;4;2
0.04;Aim High;409950;NM;0.12;Shadows over Innistrad;True;4;1
0.04;Aim High;409950;NM;0.12;Shadows over Innistrad;True;1;1
0.02;Airdrop Aeronauts;423672;NM;0.18;Aether Revolt;False;4;3
4.04;Ajani Goldmane;140233;NM;7.65;Lorwyn;False;1;1
4.68;Ajani Goldmane;191239;NM;7.57;Magic 2010;False;1;2
;Ajani Vengeant;1000093;NM;;Prerelease Events;True;4;2
