id;name;set;buy;current;diff;diffpct
20938;Silent Arbiter;Fifth Dawn;0,77;0,25;-0,52;32%
48208;Progenitor Mimic;Dragon's Maze;1,17;0,64;-0,53;55%
26594;Venser, Shaper Savant;Future Sight;0,98;0,45;-0,53;46%
49014;Spell Snare;Modern Masters;2,13;1,59;-0,54;75%
29497;Mana Reflection;Shadowmoor;0,78;0,23;-0,55;29%
37546;Platinum Angel;Magic 2011;0,70;0,14;-0,56;20%
49249;Liliana of the Dark Realms;Magic 2014;1,47;0,89;-0,58;61%
58659;Sunken Hollow;Battle for Zendikar;0,80;0,22;-0,58;28%
35589;Tectonic Edge;Worldwake;0,64;0,05;-0,59;8%
37456;Fauna Shaman;Magic 2011;0,73;0,14;-0,59;19%
62377;Breya, Etherium Shaper;You Make the Cube;1,61;1,02;-0,59;63%
39581;Green Sun's Zenith;Mirrodin Besieged;1,81;1,22;-0,59;67%
54318;Clever Impersonator;Khans of Tarkir;2,24;1,63;-0,61;73%
58691;Cinder Glade;Battle for Zendikar;1,23;0,59;-0,64;48%
28495;Austere Command;Lorwyn;0,96;0,29;-0,67;30%
29479;Sunken Ruins;Shadowmoor;1,77;1,09;-0,68;62%
40639;Nin, the Pain Artist;Commander 2011;2,03;1,34;-0,69;66%
52304;Sword of Feast and Famine;Magic Online Promos;3,09;2,37;-0,72;77%
27220;Time Stretch;Tenth Edition;0,94;0,22;-0,72;23%
58671;Canopy Vista;Battle for Zendikar;0,85;0,12;-0,73;14%
39738;Urabrask the Hidden;New Phyrexia;1,51;0,76;-0,75;50%
48786;Glen Elendra Archmage;Modern Masters;1,38;0,61;-0,77;44%
52853;Strip Mine;Vintage Masters;1,72;0,95;-0,77;55%
54252;Narset, Enlightened Master;Khans of Tarkir;1,04;0,27;-0,77;26%
53742;Chord of Calling;Magic 2015;2,93;2,15;-0,78;73%
13151;High Market;Mercadian Masques;2,03;1,24;-0,79;61%
19737;Lightning Greaves;Mirrodin;0,94;0,15;-0,79;16%
53109;Sylvan Library;Vintage Masters;0,87;0,08;-0,79;9%
12415;Windfall;Urza's Saga;0,95;0,14;-0,81;15%
30048;Quillspike;Eventide;1,11;0,26;-0,85;23%
54256;Sidisi, Brood Tyrant;Khans of Tarkir;1,15;0,27;-0,88;23%
62331;Atraxa, Praetors' Voice;You Make the Cube;2,38;1,48;-0,90;62%
20692;Vedalken Orrery;Fifth Dawn;2,08;1,13;-0,95;54%
20539;Sword of Light and Shadow;Darksteel;1,61;0,64;-0,97;40%
49054;Academy Ruins;Modern Masters;1,67;0,65;-1,02;39%
48848;Doubling Season;Modern Masters;3,51;2,45;-1,06;70%
21535;Azusa, Lost but Seeking;Champions of Kamigawa;3,50;2,44;-1,06;70%
57312;Elesh Norn, Grand Cenobite;Modern Masters 2015;2,86;1,74;-1,12;61%
20217;Extraplanar Lens;Mirrodin;1,52;0,39;-1,13;26%
25657;Vesuva;Time Spiral;1,83;0,70;-1,13;38%
42744;Garruk Relentless;Innistrad;2,03;0,89;-1,14;44%
52631;Vampiric Tutor;Vintage Masters;1,20;0,05;-1,15;4%
39587;Blightsteel Colossus;Mirrodin Besieged;3,17;2,00;-1,17;63%
51745;Xenagos, God of Revels;Born of the Gods;2,14;0,97;-1,17;45%
13797;Skyshroud Claim;Nemesis;2,50;1,25;-1,25;50%
17618;Mirari's Wake;Judgment;1,42;0,15;-1,27;11%
39537;Consecrated Sphinx;Mirrodin Besieged;2,24;0,97;-1,27;43%
26926;Coalition Relic;Future Sight;1,43;0,13;-1,30;9%
